Nhan ??,Nhan ?? khác,Tác gi?,Tác gi? khác,Ch? ??/T? khóa,Thông tin xu?t b?n,Barcode
"The handbook of board governance : a comprehensive guide for public, private, and not-for-profit board members / Richard Leblanc", , ,"Leblanc, Richard","Executive Management;""Boards of directors."";""Corporate governance.""","Hoboken, New Jersey : John Wiley & Sons, Inc., 2020","NV00002565;""NV00002564"""
"Entrepreneurial finance : a case book / Paul A. Gompers, William Sahlman", ,"Gompers, Paul A.","Sahlman, William Andrews","Finance and Banking;""Venture capital"";""Entrepreneurship"";""Business enterprises"";""Small business""","New York : Wiley, 2002",NV00002153
"Judgment in managerial decision making / Max H. Bazerman, Don A. Moore", ,"Bazerman, Max H.","Moore, Don A.","Excutive Management;""Decision making"";""Judgment"";""Management""","New York : Wiley, 2013","NV00002627;""NV00002626"""
"Financial management : theory & practice / Eugene F. Brigham, Michael C. Ehrhardt", ,"Brigham, Eugene F.","Ehrhardt, Michael C.","Finance and Banking;""Corporations""","Australia ; Boston, MA : Cengage Learning, [2017]",NV00002160
Derivatives markets / Robert L. McDonald, ,"McDonald, Robert L.", ,"Finance and Banking;""Derivative securities""","Boston : Pearson, 2013",NV00002159
Principles of macroeconomics / N. Gregory Mankiw, ,"Mankiw, N. Gregory", ,"Economics;""Macroeconomics""","Singapore : Cengage Learning Asia Pte Ltd, 2021","NV00001812;""NV00001813"""
Understanding health insurance : a guide to billing and reimbursement / Michelle A. Green, ,"Green, Michelle A.", ,"Labor Economics;""Insurance""","New York : Cengage, 2021",NV00001895
Open innovation:  Corporate incubator.  Vol. 7 / Pascal Latouche, ,"Latouche, Pascal", ,"Excutive Management;""Innovation""","Hoboken, NJ : ISTE/John Wiley, 2019","NV00002625;""NV00002624"""
"New venture creation : entrepreneurship for the 21st century / Stephen Spinelli, Robert J. Adams", ,"Spinelli, Stephen","Adams, Rob","Finance and Banking;""New business enterprises"";""Entrepreneurship""","New York, NY : McGraw-Hill Education, [2016]",NV00002152
"Fundamentals of management / Stephen P. Robbins, Mary A. Coulter, David A. De Cenzo", ,"Robbins,Stephen P.","Coulter, Mary A.;""De Cenzo, David A.""","Executive Management;""Management.""","United Kingdom: Pearson Education Limited, 2020","NV00002081;""NV00002082"""
Planning theory for practitioners / Michael P. Brooks, ,"Brooks, Michael P.",American Planning Association.,"Excutive  Management;""Strategic planning"";""Politics, Practical"";""Planning""","London & New York : Taylor & Francis Group,  2002","NV00002621;""NV00002620"""
The innovator's dilemma : when new technologies cause great firms to fail / Clayton M. Christensen., ,"Christensen, Clayton M.", ,"Executive Management;""Creative ability in business."";""Industrial management."";""Customer services."";""Success in business.""","Boston, Mass. : Harvard Business School Press, 2016","NV00002710;""NV00002709"""
Wiley CMAexcel learning system exam review 2019. Self-Study Guide / Institute of Management Accountants, ,Institute of Management Accountants, ,"Finance and Banking;""Decision making""","Hoboken, New Jersey : Wiley, 2019",NV00002119
"Faster disaster recovery : the business owner's guide to developing a business continuity plan / Jennifer H. Elder, Samuel F.Elder", ,"Elder, Jennifer H.","Elder,Samuel F.","Excutive Management;""Crisis management"";""Business planning"";""Small business""","Hoboken : Wiley, 2019","NV00002622;""NV00002623"""
"Macroeconomics, Global Edition / Michael Parkin", ,"Parkin, Michael", ,"Economics;""Macroeconomics""","England : Pearson Education, 2018","NV00001808;""NV00001809"""
"Developing monitoring and evaluation frameworks / Anne Markiewicz,  Ian Patrick", ,"Markiewicz, Anne","Patrick, Ian","Excutive Management;""Project management"";""Performance standards"";""Conceptual structures (Information theory)""","Los Angeles : Sage, [2016]","NV00002619;""NV00002618"""
"Growth in the age of complexity :  steering your company to innovation, productivity, and profits in the new era of competitionGrowth in the age of complexity : steering your company to innovation, productivity, and profits in the new era of competition / Andrei Perumal, Stephen A. Wilson", ,"Perumal, Andrei","Wilson, Stephen A.","Excutive Management;""Comportement organisationnel Comportement organisationnel"";""Corporate culture""","New York : McGraw Hill Education, 2018","NV00002636;""NV00002637"""
Wiley CMAexcel learning system exam review 2019. Self-Study Guide. Part 2: Financial decision making/ Institute of Management Accountants, ,Institute of Management Accountants, ,"Finance and Banking;""Accounting"";""Accounting Examinations"";""Accounting Examinations Study guides""","Hoboken, New Jersey : Wiley, 2019",NV00002120
Managing the professional service firm / David H. Maiste, ,"Maister, David H.", ,"Executive Management;""Professional corporations""","New York : Free Press ; Toronto : Maxwell Macmillan Canada ; New York : Maxwell Macmillan International, 1993","NV00002695;""NV00002696"""
"Supervision : concepts and practices of management / Edwin C. Leonard, Kelly A. Trusty", ,"Leonard, Edwin C.","Trusty, Kelly A.","Labor Economics;""Supervision of employees"";""Personal management""","Boston, MA : Cengage Learning, [2016]",NV00001894
Occupational health and safety management : A practical approach / Charles D. Reese, ,"Reese, Charles D.", ,"Labor Economics;""Occupational Health"";""Safety Management""","Boca Raton : CRC Press, Taylor & Francis Group, [2016]",NV00001892
"Pension design and structure : new lessons from behavioral finance / Edited by Olivia S. Mitchell, Stephen P. Utkus", , ,"Mitchell, Olivia S.;""Utkus, Stephen P.""","Labor Economics;""Pensions"";""Employees""","Oxford ; New York : Oxford University Press, 2004",NV00001897
"Career development : a human resource development perspective / Kimberly McDonald, Linda Hite", ,"McDonald, Kimberly","Hite, Linda","Labor Economics;""Career development"";""Personnel management""","New York : Routledge, 2015","NV00001863;""NV00001862"""
Business analysis : best practices for success / Steven P.  Blais, ,"Blais, Steven P.", ,"Excutive Management;""Project Management"";""Total Quality Management""","Hoboken: International Institute for Learning, 2012","NV00002641;""NV00002640"""
"The practical guide to HR analytics : Using data to inform, transform, and empower HR decisions / Shonna D. Waters, Valerie N. Streets, Lindsay McFarlane", ,"Waters, Shonna D.","Streets, Valerie N.;""McFarlane, Lindsay"";""Johnson-Murray, Rachael""","Labor Economics;""Personnel management""","Alexandria, Virginia : Society for Human Resource Management / [2018]","NV00001857;""NV00001856"""
"The perception of quality : Mapping product and service quality to consumer perceptions / George N. Kenyon , Kabir C. Sen", ,"Kenyon, George N.","Sen, Kabir C.","Excutive Management;""Industrial Management"";""Management Science""","New York : Springer, 2015","NV00002639;""NV00002638"""
In great company : how to spark peak performance by creating an emotionally connected workplace / Louis Carter, ,"Carter, Louis", ,"Executive Management;""Organizational behavior"";""Emotional intelligence"";""Employee motivation."";""Corporate culture.""","New York : McGraw-Hill, [2019]","NV00002704;""NV00002703"""
Urban economics / Arthur O'Sullivan, ,"O'Sullivan, Arthur", ,"Economics;""Urban economics""","New York : McGraw-Hill/Irwin,  2019","NV00001806;""NV00001807"""
Welcome to management : how to grow from top performer to excellent leader / Ryan Hawk, ,"Hawk, Ryan", ,"Executive Management;""Management."";""Leadership.""","New York : McGraw-Hill, [2020]","NV00002708;""NV00002707"""
"Leading from the front : no-excuse leadership tactics for women / Angie Morgan and Courtney Lynch, Captains of Marines.", ,"Morgan, Angie","Lynch, Courtney","Excutive Management;""Leadership."";""Women executives.""","New York : McGraw-Hill Education, [2017]","NV00002635;""NV00002634"""
"Leading from your best self: develop executive poise, presence, and influence to maximize your potential / Rob Salafia.", ,"Salafia, Rob", ,"Executive Management;""Leadership."";""Executive ability.""","New York : McGraw-Hill Education, [2019]","NV00002706;""NV00002705"""
What are your blind spots? : conquering the 5 misconceptions that hold leaders back / Jim Haudan and Rich Berens, ,"Haudan, Jim","Berens, Rich","Excutive Management;""Leadership"";""Insight""","New York : McGraw-Hill, [2019]","NV00002633;""NV00002632"""
"Business analytics for managers : taking business intelligence beyond reporting / Gert H. N. Laursen, Jesper Thorlund", ,"Laursen, Gert H. N.","Thorlund, Jesper","Executive Management;""Business intelligence."";""Decision-Making""","Hoboken, New Jersey : John Wiley & Sons, 2017","NV00002700;""NV00002699"""
"Forensic and investigative accounting / D. Larry Crumbley, Edmund D. Fenton, G. Stevenson Smith", ,"Crumbley, D. Larry","Fenton,Edmund D.;""Smith, G. Stevenson""","Law;""Accounting"";""Evidence"";""Fraud investigation""","Chicago : CCH, 2019","NV00002009;""NV00002008"""
"Leading the unleadable : how to manage mavericks, cynics, divas and other difficult people / Alan Willett.", ,"Willett, Alan", ,"Executive Management;""Leadership."";""Problem employees."";""Interpersonal conflict."";""Conflict management."";""Management.""","New York, NY : AMACOM, [2017]","NV00002698;""NV00002697"""
"International business law : text, cases, and readings / Ray August ; with revisions by Don Mayer, Michael Bixby", ,"August, Ray","Mayer, Don;""Bixby, Michael B., revisions""","Law;""Commercial law"";""Foreign trade regulation""","Upper Saddle River, NJ : Pearson, 2013",NV00002010
Truth at work : the science of delivering tough messages / Mark Murphy, ,"Murphy, Mark A. (Mark Andrew)", ,"Executive Management;""Communication in management."";""Truthfulness and falsehood.""","New York : McGraw-Hill Education, [2017]","NV00002694;""NV00002693"""
"Essentials of negotiation / Roy J. Lewicki, The Ohio State University, Bruce Barry, Vanderbilt University, David M. Saunders, Queen's University.", ,"Lewicki, Roy J.","Barry, Bruce;""Saunders, David M.""","Excutive Management;""Negotiation in business"";""Negotiation""","Dubuque : McGraw-Hill Education, [2016]","NV00002678;""NV00002679"""
How innovation really works : using the trillion-dollar R&D fix to drive growth / Anne Marie Knott, ,"Knott, Anne Marie", ,"Executive Management;""Technological innovations"";""Research""","New York : McGraw-Hill, [2017]","NV00002691;""NV00002692"""
The new age of innovation : driving cocreated value through global networks / by C.K. Prahalad and M.S. Krishnan, ,"Prahalad, C. K.","Krishnan, M. S.","Excutive Management;""Business planning"";""Strategic planning"";""Industrial management"";""Customer relations""","New York : McGraw-Hill, [2018]","NV00002645;""NV00002644"""
"Modern real estate practice / Fillmore W. Galaty, Wellington J. Allaway, Robert C. Kyle", ,"Galaty, Fillmore W.","Allaway, Wellington J.;""Kyle, Robert C.""","Law;""Real estate""","Chicago : Dearborn Real Estate Education, 2003","NV00002005;""NV00002004"""
"The entrepreneur's book of actions : essential daily exercises and habits for becoming wealthier, smarter, and more successful / Rhett Power", ,"Power, Rhett", ,"Excutive Management;""Success in business"";""Success"";""Entrepreneurship""","New York : McGraw-Hill Education, [2017]","NV00002683;""NV00002682"""
Management control systems in Japan / by Takashi Shimizu, ,"Shimizu, Takashi", ,"Excutive  Management;""Management"";""Managerial accounting""","London ; New York, NY : Routledge, Taylor & Francis Group, 2017","NV00002685;""NV00002684"""
"Economics for investment decision makers : micro, macro, and international economics / Christopher D. Piros, Jerald E. Pinto", , ,"Piros, Christopher Dixon.;""Pinto, Jerald E.""","Economics;""Supply and demand."";""Microeconomics."";""Macroeconomics."";""Investments.""","Hoboken, N.J. : Wiley, 2013","NV00001799;""NV00001798"""
"Horngren's financial & managerial accounting / Tracie Miller-Nobles, Brenda Mattison, Ella Mae Matsumura", ,"Nobles, Tracie Miller","Mattison Brenda;""Matsumura Ella Mae""","Finance and  Banking;""Accounting"";""Managerial accounting""","Harlow : Pearson, 2019","NV00002021;""NV00002022"""
"Business law : the ethical, global, and e-commerce environment / Arlen W. Langvardt", ,"Langvardt, Arlen W.","Barnes, A. James;""Prekert, Jamie Darin"";""McCrory, Martin A."";""Perry, Joshua E.""","Law;""Business law""","New York : McGraw-Hill Education, 2019","NV00002007;""NV00002006"""
"Microeconomic Robert S. Pindyck, Daniel L. Rubinfeld", ,"Pindyck, Robert S.","Rubinfeld, Daniel L.;""Pindyck, Robert S.""","Economics;""Microeconomics""","United Kingdom : Pearson,  2018","NV00001797;""NV00001796"""
Leadership step by step :  Become the person others follow e person others follow / Joshua Spodek, ,"Spodek, Joshua", ,"Excutive Management;""Industrial Management"";""Management Science""","New York: Amacom Books, 2017","NV00002673;""NV00002672"""
"Insurance law and regulation: cases and materials / by Kenneth S. Abraham, Daniel Schwarcz", ,"Abraham, Kenneth S.", ,"Law;""Insurance""","Westbury (N.Y.) :  Foundation Press,  2000",NV00002016
Digital (r)evolution : Strategies to accelerate business transformation / Yuri B Aguiar, ,"Aguiar, Yuri B.", ,"Excutive Management;""Leadership"";""Entreprises Innovations""","New Jersey : John Wiley & Sons, 2020","NV00002642;""NV00002643"""
"International Financial Management / Cheol S. Eun, Bruce G. Resnick, Tuugi Chuluun", ,"Eun, Cheol S.","Resnick, Bruce G.;""Chuluun, Tuugi""","Finance and Banking;""Financial institutions"";""Foreign exchange""","McGraw-Hill : McGraw-Hill Education, 2020","NV00002085;""NV00002086"""
"Principles of macroeconomics / Robert H. Frank, Ben Bernanke, Kate  Antonovics", ,"Frank, Robert H.","Bernanke, Ben;""Antonovics, Kate""","Economics;""Macroeconomics""","New York : McGraw-Hill Education, 2019","NV00001803;""NV00001802"""
"Intellectual property law for engineers, scientists, and entrepreneurs / Howard B. Rockman", ,"Rockman, Howard B.", ,"Law;""Intellectual property law""","New Jersey : John Wiley & Sons, Inc.,  2020",NV00002012
